Ship_Date,Segment,State,Postal_Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
01-01-2016,Consumer,Kentucky,42420,South,Laptops,Dell,261,2,0,41.9136
01-01-2016,Consumer,Kentucky,42420,South,Laptops,HP,731,3,0,219.582
01-01-2016,Corporate,California,90036,West,Mobile Phones,HTC,14,2,0,6.8714
01-01-2016,Consumer,Florida,33311,South,Laptops,Lenovo,957,5,0.45,-383.031
01-01-2016,Consumer,Florida,33311,South,Mobile Phones,OnePlus,22,2,0.2,2.5164
01-01-2016,Consumer,California,90032,West,Laptops,Asus,48,7,0,14.1694
02-01-2016,Consumer,California,90032,West,Mobile Phones,LG,7,4,0,1.9656
02-01-2016,Consumer,California,90032,West,Cameras ,Sony,907,6,0.2,90.7152
03-01-2016,Consumer,California,90032,West,Mobile Phones,iPhone,18,3,0.2,5.7825
03-01-2016,Consumer,California,90032,West,Mobile Phones,Samsung,114,5,0,34.47
03-01-2016,Consumer,California,90032,West,Laptops,Lenovo,1706,9,0.2,85.3092
03-01-2016,Consumer,California,90032,West,Cameras ,Sony,911,4,0.2,68.3568
03-01-2016,Consumer,North Carolina,28027,South,Mobile Phones,Pixel,15,3,0.2,5.4432
03-01-2016,Consumer,Washington,98103,West,Mobile Phones,iPhone,407,3,0.2,132.5922
03-01-2016,Home Office,Texas,76106,Central,Mobile Phones,Samsung,68,5,0.8,-123.858
03-01-2016,Home Office,Texas,76106,Central,Mobile Phones,iPhone,2,3,0.8,-3.816
03-01-2016,Consumer,Wisconsin,53711,Central,Mobile Phones,OnePlus,665,6,0,13.3176
04-01-2016,Consumer,Utah,84084,West,Mobile Phones,OnePlus,55,2,0,9.99
04-01-2016,Consumer,California,94109,West,Mobile Phones,LG,8,2,0,2.4824
04-01-2016,Consumer,California,94109,West,Cameras ,Sony,213,3,0.2,16.011
04-01-2016,Consumer,California,94109,West,Mobile Phones,iPhone,22,4,0.2,7.384
05-01-2016,Corporate,Nebraska,68025,Central,Mobile Phones,LG,19,7,0,5.0596
05-01-2016,Corporate,Nebraska,68025,Central,Mobile Phones,Samsung,60,7,0,15.6884
05-01-2016,Consumer,Pennsylvania,19140,East,Laptops,HP,71,2,0.3,-1.0196
05-01-2016,Consumer,Utah,84057,West,Laptops,Lenovo,1044,3,0,240.2649
07-01-2016,Consumer,California,90049,West,Mobile Phones,iPhone,11,2,0.2,4.2224
07-01-2016,Consumer,California,90049,West,Cameras ,Nikon,90,3,0,11.7741
07-01-2016,Consumer,Pennsylvania,19140,East,Laptops,Dell,3083,7,0.5,-1665.0522
07-01-2016,Consumer,Pennsylvania,19140,East,Mobile Phones,iPhone,9,2,0.7,-7.0532
07-01-2016,Consumer,Pennsylvania,19140,East,Laptops,Asus,124,3,0.2,15.525
08-01-2016,Consumer,Pennsylvania,19140,East,Mobile Phones,Motorola ,3,2,0.2,1.1016
08-01-2016,Consumer,Pennsylvania,19140,East,Mobile Phones,LG,86,6,0.2,9.7092
08-01-2016,Consumer,Pennsylvania,19140,East,Mobile Phones,iPhone,6,6,0.7,-5.715
08-01-2016,Consumer,Pennsylvania,19140,East,Mobile Phones,LG,15,2,0.2,3.546
08-01-2016,Home Office,Texas,77095,Central,Mobile Phones,Pixel,29,3,0.2,9.9468
08-01-2016,Corporate,Texas,75080,Central,Cameras ,Sony,1097,7,0.2,123.4737
08-01-2016,Corporate,Texas,75080,Central,Laptops,Asus,190,5,0.6,-147.963
09-01-2016,Home Office,Texas,77041,Central,Mobile Phones,Motorola ,113,9,0.2,35.415
11-01-2016,Home Office,Texas,77041,Central,Laptops,Dell,532,3,0.32,-46.9764
11-01-2016,Home Office,Texas,77041,Central,Laptops,HP,212,3,0.3,-15.147
12-01-2016,Home Office,Texas,77041,Central,Cameras ,Sony,371,4,0.2,41.7564
12-01-2016,Corporate,Illinois,60540,Central,Cameras ,Sony,147,4,0.2,16.5564
12-01-2016,Corporate,California,90049,West,Mobile Phones,OnePlus,77,2,0,3.894
13-01-2016,Corporate,Florida,32935,South,Mobile Phones,OnePlus,95,2,0.2,9.5616
13-01-2016,Corporate,Minnesota,55122,Central,Cameras ,Nikon,45,2,0,19.7714
13-01-2016,Corporate,Minnesota,55122,Central,Mobile Phones,iPhone,17,2,0,8.2062
